Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,40.369999,40.369999,40.369999,40.369999,40.369999,0
2003-12-02,40.319000,40.319000,40.319000,40.319000,40.319000,0
2003-12-03,39.852001,39.852001,39.852001,39.852001,39.852001,0
2003-12-04,40.084000,40.084000,40.084000,40.084000,40.084000,0
2003-12-05,40.099998,40.099998,40.099998,40.099998,40.099998,0
2003-12-08,40.109001,40.109001,40.109001,40.109001,40.109001,0
2003-12-09,41.471001,41.471001,41.471001,41.471001,41.471001,0
2003-12-10,40.613998,40.613998,40.613998,40.613998,40.613998,0
2003-12-11,40.598000,40.598000,40.598000,40.598000,40.598000,0
2003-12-12,40.612999,40.612999,40.612999,40.612999,40.612999,0
2003-12-15,40.603001,40.603001,40.603001,40.603001,40.603001,0
2003-12-16,40.588001,40.588001,40.588001,40.588001,40.588001,0
2003-12-17,40.641998,40.641998,40.641998,40.641998,40.641998,0
2003-12-18,40.414001,40.414001,40.414001,40.414001,40.414001,0
2003-12-19,40.324001,40.324001,40.324001,40.324001,40.324001,0
2003-12-22,40.363998,40.363998,40.363998,40.363998,40.363998,0
2003-12-23,39.873001,39.873001,39.873001,39.873001,39.873001,0
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,39.527000,39.527000,39.527000,39.527000,39.527000,0
2003-12-30,39.375999,39.375999,39.375999,39.375999,39.375999,0
2003-12-31,38.997002,38.997002,38.997002,38.997002,38.997002,0
2004-01-01,null,null,null,null,null,null
2004-01-02,39.389000,39.389000,39.389000,39.389000,39.389000,0
2004-01-05,39.382000,39.382000,39.382000,39.382000,39.382000,0
2004-01-06,40.342999,40.342999,40.342999,40.342999,40.342999,0
2004-01-07,40.365002,40.365002,40.365002,40.365002,40.365002,0
2004-01-08,41.049999,41.049999,41.049999,41.049999,41.049999,0
2004-01-09,41.143002,41.143002,41.143002,41.143002,41.143002,0
2004-01-12,41.124001,41.124001,41.124001,41.124001,41.124001,0
2004-01-13,41.120998,41.120998,41.120998,41.120998,41.120998,0
2004-01-14,41.868000,41.868000,41.868000,41.868000,41.868000,0
2004-01-15,42.118999,42.118999,42.118999,42.118999,42.118999,0
2004-01-16,41.938999,41.938999,41.938999,41.938999,41.938999,0
2004-01-19,41.827000,41.827000,41.827000,41.827000,41.827000,0
2004-01-20,41.546001,41.546001,41.546001,41.546001,41.546001,0
2004-01-21,41.471001,41.484001,41.471001,41.484001,41.484001,0
2004-01-22,41.530998,41.530998,41.530998,41.530998,41.530998,0
2004-01-23,41.687000,41.687000,41.687000,41.687000,41.687000,0
2004-01-26,41.645000,41.645000,41.645000,41.645000,41.645000,0
2004-01-27,42.090000,42.090000,42.090000,42.090000,42.090000,0
2004-01-28,42.143002,42.143002,42.143002,42.143002,42.143002,0
2004-01-29,42.139000,42.139000,42.139000,42.139000,42.139000,0
2004-01-30,42.077000,42.077000,42.077000,42.077000,42.077000,0
2004-02-02,42.067001,42.067001,42.067001,42.067001,42.067001,0
2004-02-03,41.630001,41.630001,41.630001,41.630001,41.630001,0
2004-02-04,41.630001,41.630001,41.630001,41.630001,41.630001,0
2004-02-05,41.605000,41.605000,41.605000,41.605000,41.605000,0
2004-02-06,41.872002,41.872002,41.872002,41.872002,41.872002,0
2004-02-09,41.881001,42.070999,41.881001,42.070999,42.070999,0
2004-02-10,41.862999,41.862999,41.862999,41.862999,41.862999,0
2004-02-11,41.853001,41.853001,41.853001,41.853001,41.853001,0
2004-02-12,41.872002,41.872002,41.872002,41.872002,41.872002,0
2004-02-13,41.882000,41.882000,41.882000,41.882000,41.882000,0
2004-02-16,41.884998,41.884998,41.884998,41.884998,41.884998,0
2004-02-17,41.894001,41.894001,41.894001,41.894001,41.894001,0
2004-02-18,41.909000,41.909000,41.909000,41.909000,41.909000,0
2004-02-19,41.883999,41.883999,41.883999,41.883999,41.883999,0
2004-02-20,41.865002,41.865002,41.865002,41.865002,41.865002,0
2004-02-23,41.874001,41.874001,41.874001,41.874001,41.874001,0
2004-02-24,41.863998,41.863998,41.863998,41.863998,41.863998,0
2004-02-25,41.923000,41.923000,41.923000,41.923000,41.923000,0
2004-02-26,41.856998,41.856998,41.856998,41.856998,41.856998,0
2004-02-27,41.858002,41.858002,41.858002,41.858002,41.858002,0
2004-03-01,41.881001,41.881001,41.881001,41.881001,41.881001,0
2004-03-02,41.891998,41.891998,41.891998,41.891998,41.891998,0
2004-03-03,41.942001,41.942001,41.942001,41.942001,41.942001,0
2004-03-04,41.915001,41.915001,41.915001,41.915001,41.915001,0
2004-03-05,41.862999,41.862999,41.862999,41.862999,41.862999,0
2004-03-08,41.146000,41.146000,41.146000,41.146000,41.146000,0
2004-03-09,41.103001,41.103001,41.103001,41.103001,41.103001,0
2004-03-10,41.103001,41.103001,41.103001,41.103001,41.103001,0
2004-03-11,41.082001,41.082001,41.082001,41.082001,41.082001,0
2004-03-12,41.389000,41.389000,41.389000,41.389000,41.389000,0
2004-03-15,41.382000,41.382000,41.382000,41.382000,41.382000,0
2004-03-16,41.347000,41.347000,41.347000,41.347000,41.347000,0
2004-03-17,40.356998,40.356998,40.356998,40.356998,40.356998,0
2004-03-18,40.390999,40.390999,40.390999,40.390999,40.390999,0
2004-03-19,40.375000,40.375000,40.375000,40.375000,40.375000,0
2004-03-22,39.360001,39.360001,39.360001,39.360001,39.360001,0
2004-03-23,39.356998,39.356998,39.356998,39.356998,39.356998,0
2004-03-24,36.862000,36.862000,36.862000,36.862000,36.862000,0
2004-03-25,33.320999,33.320999,33.320999,33.320999,33.320999,0
2004-03-26,23.344999,23.344999,23.344999,23.344999,23.344999,0
2004-03-29,28.377001,28.377001,28.377001,28.377001,28.377001,0
2004-03-30,28.382000,28.382000,28.382000,28.382000,28.382000,0
2004-03-31,28.353001,28.353001,28.353001,28.353001,28.353001,0
2004-04-01,28.372999,28.372999,28.372999,28.372999,28.372999,0
2004-04-02,36.362000,36.362000,36.362000,36.362000,36.362000,0
2004-04-05,35.362000,35.362000,35.362000,35.362000,35.362000,0
2004-04-06,35.353001,35.353001,35.353001,35.353001,35.353001,0
2004-04-07,32.323002,32.323002,32.323002,32.323002,32.323002,0
2004-04-08,32.362999,32.362999,32.362999,32.362999,32.362999,0
2004-04-09,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,32.339001,32.339001,32.339001,32.339001,32.339001,0
2004-04-14,35.345001,35.345001,35.345001,35.345001,35.345001,0
2004-04-15,35.338001,35.338001,35.338001,35.338001,35.338001,0
2004-04-16,34.324001,34.324001,34.324001,34.324001,34.324001,0
2004-04-19,34.335999,34.335999,34.335999,34.335999,34.335999,0
2004-04-20,34.324001,34.344002,34.324001,34.344002,34.344002,0
2004-04-21,35.327000,35.327000,35.327000,35.327000,35.327000,0
2004-04-22,35.326000,35.326000,35.326000,35.326000,35.326000,0
2004-04-23,35.373001,35.373001,35.373001,35.373001,35.373001,0
2004-04-26,34.351002,34.351002,34.351002,34.351002,34.351002,0
2004-04-27,34.383999,34.383999,34.383999,34.383999,34.383999,0
2004-04-28,34.330002,34.330002,34.330002,34.330002,34.330002,0
2004-04-29,34.338001,34.338001,34.338001,34.338001,34.338001,0
2004-04-30,33.866001,33.866001,33.762001,33.762001,33.762001,0
2004-05-03,33.834999,33.834999,33.834999,33.834999,33.834999,0
2004-05-04,33.833000,33.833000,33.833000,33.833000,33.833000,0
2004-05-05,33.848999,33.848999,33.848999,33.848999,33.848999,0
2004-05-06,34.428001,34.428001,34.428001,34.428001,34.428001,0
2004-05-07,36.601002,36.601002,36.601002,36.601002,36.601002,0
2004-05-10,33.828999,33.828999,33.828999,33.828999,33.828999,0
2004-05-11,33.821999,33.821999,33.821999,33.821999,33.821999,0
2004-05-12,33.835999,33.835999,33.835999,33.835999,33.835999,0
2004-05-13,33.576000,33.576000,33.576000,33.576000,33.576000,0
2004-05-14,33.480000,33.480000,33.480000,33.480000,33.480000,0
2004-05-17,33.522999,33.522999,33.522999,33.522999,33.522999,0
2004-05-18,33.348999,33.348999,33.348999,33.348999,33.348999,0
2004-05-19,33.355999,33.355999,33.355999,33.355999,33.355999,0
2004-05-20,null,null,null,null,null,null
2004-05-21,33.344002,33.368999,33.344002,33.368999,33.368999,0
2004-05-24,33.325001,33.325001,33.325001,33.325001,33.325001,0
2004-05-25,33.332001,33.332001,33.332001,33.332001,33.332001,0
2004-05-26,33.584999,33.584999,33.584999,33.584999,33.584999,0
2004-05-27,33.348999,33.348999,33.348999,33.348999,33.348999,0
2004-05-28,33.362999,33.362999,33.362999,33.362999,33.362999,0
2004-05-31,null,null,null,null,null,null
2004-06-01,33.110001,33.110001,33.110001,33.110001,33.110001,0
2004-06-02,32.868000,32.868000,32.868000,32.868000,32.868000,0
2004-06-03,32.705002,32.705002,32.705002,32.705002,32.705002,0
2004-06-04,32.470001,32.470001,32.470001,32.470001,32.470001,0
2004-06-07,32.535999,32.535999,32.535999,32.535999,32.535999,0
2004-06-08,32.518002,32.646000,32.518002,32.646000,32.646000,0
2004-06-09,32.498001,32.546001,32.498001,32.546001,32.546001,0
2004-06-10,32.528999,32.548000,32.528999,32.548000,32.548000,0
2004-06-11,32.634998,32.634998,32.480999,32.480999,32.480999,0
2004-06-14,32.576000,32.576000,32.493000,32.493000,32.493000,0
2004-06-15,32.330002,32.592999,32.330002,32.592999,32.592999,0
2004-06-16,32.599998,32.599998,32.599998,32.599998,32.599998,0
2004-06-17,32.601002,32.601002,32.601002,32.601002,32.601002,0
2004-06-18,32.771999,32.771999,32.339001,32.339001,32.339001,0
2004-06-21,32.070000,32.113998,32.070000,32.113998,32.113998,0
2004-06-22,32.098999,32.098999,32.098999,32.098999,32.098999,0
2004-06-23,31.955000,31.955000,31.851999,31.851999,31.851999,0
2004-06-24,31.889000,31.889000,31.848000,31.848000,31.848000,0
2004-06-25,31.834999,31.834999,31.834999,31.834999,31.834999,0
2004-06-28,31.777000,31.777000,31.695000,31.695000,31.695000,0
2004-06-29,31.679001,31.700001,31.679001,31.700001,31.700001,0
2004-06-30,31.885000,31.885000,31.709000,31.709000,31.709000,0
2004-07-01,31.746000,31.746000,31.746000,31.746000,31.746000,0
2004-07-02,31.702999,31.702999,31.702999,31.702999,31.702999,0
2004-07-05,31.271000,31.851999,31.271000,31.851999,31.851999,0
2004-07-06,31.865999,31.865999,31.865999,31.865999,31.865999,0
2004-07-07,31.792000,31.864000,31.792000,31.864000,31.864000,0
2004-07-08,31.846001,31.846001,31.846001,31.846001,31.846001,0
2004-07-09,31.716000,31.875000,31.716000,31.875000,31.875000,0
2004-07-12,31.885000,33.632999,31.885000,33.632999,33.632999,0
2004-07-13,33.618999,33.618999,33.618999,33.618999,33.618999,0
2004-07-14,33.617001,33.617001,33.617001,33.617001,33.617001,0
2004-07-15,33.611000,33.683998,33.563999,33.683998,33.683998,0
2004-07-16,33.615002,33.615002,33.615002,33.615002,33.615002,0
2004-07-19,33.618999,33.618999,33.618999,33.618999,33.618999,0
2004-07-20,33.651001,33.651001,33.651001,33.651001,33.651001,0
2004-07-21,33.605999,33.605999,33.605999,33.605999,33.605999,0
2004-07-22,33.606998,33.606998,33.606998,33.606998,33.606998,0
2004-07-23,33.591000,33.591000,33.591000,33.591000,33.591000,0
2004-07-26,33.741001,33.741001,33.618000,33.618000,33.618000,0
2004-07-27,33.598999,33.598999,33.598999,33.598999,33.598999,0
2004-07-28,33.889000,33.889000,33.514000,33.514000,33.514000,0
2004-07-29,33.601002,33.601002,33.601002,33.601002,33.601002,0
2004-07-30,33.609001,33.609001,33.609001,33.609001,33.609001,0
2004-08-02,33.377998,33.377998,33.377998,33.377998,33.377998,0
2004-08-03,33.340000,33.340000,33.340000,33.340000,33.340000,0
2004-08-04,33.344002,33.344002,33.344002,33.344002,33.344002,0
2004-08-05,33.377998,33.377998,33.377998,33.377998,33.377998,0
2004-08-06,33.319000,33.355000,33.319000,33.355000,33.355000,0
2004-08-09,33.381001,33.381001,33.381001,33.381001,33.381001,0
2004-08-10,33.873001,33.873001,33.873001,33.873001,33.873001,0
2004-08-11,33.881001,33.881001,33.881001,33.881001,33.881001,0
2004-08-12,34.603001,34.603001,34.603001,34.603001,34.603001,0
2004-08-13,34.699001,34.699001,34.591999,34.591999,34.591999,0
2004-08-16,34.599998,34.599998,34.599998,34.599998,34.599998,0
2004-08-17,34.872002,34.872002,34.872002,34.872002,34.872002,0
2004-08-18,34.854000,34.854000,34.854000,34.854000,34.854000,0
2004-08-19,34.859001,34.859001,34.859001,34.859001,34.859001,0
2004-08-20,33.359001,33.359001,33.359001,33.359001,33.359001,0
2004-08-23,33.368000,33.368000,33.368000,33.368000,33.368000,0
2004-08-24,33.680000,33.680000,33.358002,33.358002,33.358002,0
2004-08-25,33.328999,33.328999,33.328999,33.328999,33.328999,0
2004-08-26,33.352001,33.352001,33.352001,33.352001,33.352001,0
2004-08-27,33.349998,33.349998,33.349998,33.349998,33.349998,0
2004-08-30,33.340000,33.340000,33.340000,33.340000,33.340000,0
2004-08-31,33.326000,33.326000,33.326000,33.326000,33.326000,0
2004-09-01,34.362999,34.362999,34.362999,34.362999,34.362999,0
2004-09-02,33.609001,33.609001,33.609001,33.609001,33.609001,0
2004-09-03,33.601002,33.601002,33.601002,33.601002,33.601002,0
2004-09-06,33.929001,33.929001,33.609001,33.609001,33.609001,0
2004-09-07,33.618000,33.618000,33.583000,33.583000,33.583000,0
2004-09-08,33.678001,33.681999,33.597000,33.597000,33.597000,0
2004-09-09,33.622002,33.622002,33.622002,33.622002,33.622002,0
2004-09-10,34.354000,34.354000,34.354000,34.354000,34.354000,0
2004-09-13,34.391998,34.391998,34.391998,34.391998,34.391998,0
2004-09-14,34.369999,34.369999,34.369999,34.369999,34.369999,0
2004-09-15,34.362999,34.362999,34.362999,34.362999,34.362999,0
2004-09-16,34.609001,34.609001,34.356998,34.356998,34.356998,0
